try_num,change_probability,success_this_time,cumulative,master_energy
1,0.1,0.1,0.1,0.0
2,0.11,0.099,0.199,0.04651
3,0.12,0.09612,0.29512,0.09767
4,0.13,0.09163,0.38675,0.15348
5,0.14,0.08586,0.47261,0.21394
6,0.15,0.07911,0.55172,0.27905
7,0.16,0.07172,0.62344,0.34881
8,0.17,0.06402,0.68746,0.42323
9,0.18,0.05626,0.74372,0.5023
10,0.19,0.04869,0.79241,0.58602
11,0.2,0.04152,0.83393,0.67439
12,0.2,0.03321,0.86714,0.76741
13,0.2,0.02657,0.89371,0.86043
14,0.2,0.02126,0.91497,0.95345
15,1.0,0.08503,1.0,1.0
