try_num,change_probability,success_this_time,cumulative,master_energy
1,0.005,0.005,0.005,0.0
2,0.0055,0.00547,0.01047,0.00233
3,0.006,0.00594,0.01641,0.00489
4,0.0065,0.00639,0.0228,0.00768
5,0.007,0.00684,0.02964,0.0107
6,0.0075,0.00728,0.03692,0.01396
7,0.008,0.0077,0.04462,0.01745
8,0.0085,0.00812,0.05274,0.02117
9,0.009,0.00853,0.06127,0.02512
10,0.0095,0.00892,0.07019,0.02931
11,0.01,0.0093,0.07949,0.03373
12,0.01,0.00921,0.0887,0.03838
13,0.01,0.00911,0.09781,0.04303
14,0.01,0.00902,0.10683,0.04768
15,0.01,0.00893,0.11576,0.05233
16,0.01,0.00884,0.1246,0.05698
17,0.01,0.00875,0.13335,0.06163
18,0.01,0.00867,0.14202,0.06628
19,0.01,0.00858,0.1506,0.07093
20,0.01,0.00849,0.15909,0.07558
21,0.01,0.00841,0.1675,0.08023
22,0.01,0.00833,0.17583,0.08488
23,0.01,0.00824,0.18407,0.08953
24,0.01,0.00816,0.19223,0.09418
25,0.01,0.00808,0.20031,0.09883
26,0.01,0.008,0.20831,0.10348
27,0.01,0.00792,0.21623,0.10813
28,0.01,0.00784,0.22407,0.11278
29,0.01,0.00776,0.23183,0.11743
30,0.01,0.00768,0.23951,0.12208
31,0.01,0.0076,0.24711,0.12673
32,0.01,0.00753,0.25464,0.13138
33,0.01,0.00745,0.26209,0.13603
34,0.01,0.00738,0.26947,0.14068
35,0.01,0.00731,0.27678,0.14533
36,0.01,0.00723,0.28401,0.14998
37,0.01,0.00716,0.29117,0.15463
38,0.01,0.00709,0.29826,0.15928
39,0.01,0.00702,0.30528,0.16393
40,0.01,0.00695,0.31223,0.16858
41,0.01,0.00688,0.31911,0.17323
42,0.01,0.00681,0.32592,0.17788
43,0.01,0.00674,0.33266,0.18253
44,0.01,0.00667,0.33933,0.18718
45,0.01,0.00661,0.34594,0.19183
46,0.01,0.00654,0.35248,0.19648
47,0.01,0.00648,0.35896,0.20113
48,0.01,0.00641,0.36537,0.20578
49,0.01,0.00635,0.37172,0.21043
50,0.01,0.00628,0.378,0.21508
51,0.01,0.00622,0.38422,0.21973
52,0.01,0.00616,0.39038,0.22438
53,0.01,0.0061,0.39648,0.22903
54,0.01,0.00604,0.40252,0.23368
55,0.01,0.00597,0.40849,0.23833
56,0.01,0.00592,0.41441,0.24298
57,0.01,0.00586,0.42027,0.24763
58,0.01,0.0058,0.42607,0.25228
59,0.01,0.00574,0.43181,0.25693
60,0.01,0.00568,0.43749,0.26158
61,0.01,0.00563,0.44312,0.26623
62,0.01,0.00557,0.44869,0.27088
63,0.01,0.00551,0.4542,0.27553
64,0.01,0.00546,0.45966,0.28018
65,0.01,0.0054,0.46506,0.28483
66,0.01,0.00535,0.47041,0.28948
67,0.01,0.0053,0.47571,0.29413
68,0.01,0.00524,0.48095,0.29878
69,0.01,0.00519,0.48614,0.30343
70,0.01,0.00514,0.49128,0.30808
71,0.01,0.00509,0.49637,0.31273
72,0.01,0.00504,0.50141,0.31738
73,0.01,0.00499,0.5064,0.32203
74,0.01,0.00494,0.51134,0.32668
75,0.01,0.00489,0.51623,0.33133
76,0.01,0.00484,0.52107,0.33598
77,0.01,0.00479,0.52586,0.34063
78,0.01,0.00474,0.5306,0.34528
79,0.01,0.00469,0.53529,0.34993
80,0.01,0.00465,0.53994,0.35458
81,0.01,0.0046,0.54454,0.35923
82,0.01,0.00455,0.54909,0.36388
83,0.01,0.00451,0.5536,0.36853
84,0.01,0.00446,0.55806,0.37318
85,0.01,0.00442,0.56248,0.37783
86,0.01,0.00438,0.56686,0.38248
87,0.01,0.00433,0.57119,0.38713
88,0.01,0.00429,0.57548,0.39178
89,0.01,0.00425,0.57973,0.39643
90,0.01,0.0042,0.58393,0.40108
91,0.01,0.00416,0.58809,0.40573
92,0.01,0.00412,0.59221,0.41038
93,0.01,0.00408,0.59629,0.41503
94,0.01,0.00404,0.60033,0.41968
95,0.01,0.004,0.60433,0.42433
96,0.01,0.00396,0.60829,0.42898
97,0.01,0.00392,0.61221,0.43363
98,0.01,0.00388,0.61609,0.43828
99,0.01,0.00384,0.61993,0.44293
