try_num,change_probability,success_this_time,cumulative,master_energy
1,0.03,0.03,0.03,0.0
2,0.033,0.03201,0.06201,0.01395
3,0.036,0.03377,0.09578,0.0293
4,0.039,0.03526,0.13104,0.04604
5,0.042,0.0365,0.16754,0.06418
6,0.045,0.03746,0.205,0.08371
7,0.048,0.03816,0.24316,0.10464
8,0.051,0.0386,0.28176,0.12696
9,0.054,0.03878,0.32054,0.15068
10,0.057,0.03873,0.35927,0.1758
11,0.06,0.03844,0.39771,0.20231
12,0.06,0.03614,0.43385,0.23022
13,0.06,0.03397,0.46782,0.25813
14,0.06,0.03193,0.49975,0.28604
15,0.06,0.03001,0.52976,0.31395
16,0.06,0.02821,0.55797,0.34186
17,0.06,0.02652,0.58449,0.36977
18,0.06,0.02493,0.60942,0.39768
19,0.06,0.02343,0.63285,0.42559
20,0.06,0.02203,0.65488,0.4535
21,0.06,0.02071,0.67559,0.48141
22,0.06,0.01946,0.69505,0.50932
23,0.06,0.0183,0.71335,0.53723
24,0.06,0.0172,0.73055,0.56514
25,0.06,0.01617,0.74672,0.59305
26,0.06,0.0152,0.76192,0.62096
27,0.06,0.01428,0.7762,0.64887
28,0.06,0.01343,0.78963,0.67678
29,0.06,0.01262,0.80225,0.70469
30,0.06,0.01186,0.81411,0.7326
31,0.06,0.01115,0.82526,0.76051
32,0.06,0.01048,0.83574,0.78842
33,0.06,0.00986,0.8456,0.81633
34,0.06,0.00926,0.85486,0.84424
35,0.06,0.00871,0.86357,0.87215
36,0.06,0.00819,0.87176,0.90006
37,0.06,0.00769,0.87945,0.92797
38,0.06,0.00723,0.88668,0.95588
39,0.06,0.0068,0.89348,0.98379
40,1.0,0.10652,1.0,1.0
