try_num,change_probability,success_this_time,cumulative,master_energy
1,0.05,0.05,0.05,0.0
2,0.055,0.05225,0.10225,0.02326
3,0.06,0.05387,0.15612,0.04884
4,0.065,0.05485,0.21097,0.07675
5,0.07,0.05523,0.2662,0.10698
6,0.075,0.05504,0.32124,0.13954
7,0.08,0.0543,0.37554,0.17442
8,0.085,0.05308,0.42862,0.21163
9,0.09,0.05143,0.48005,0.25116
10,0.095,0.0494,0.52945,0.29302
11,0.1,0.04706,0.57651,0.3372
12,0.1,0.04235,0.61886,0.38371
13,0.1,0.03812,0.65698,0.43022
14,0.1,0.0343,0.69128,0.47673
15,0.1,0.03087,0.72215,0.52324
16,0.1,0.02779,0.74994,0.56975
17,0.1,0.02501,0.77495,0.61626
18,0.1,0.02251,0.79746,0.66277
19,0.1,0.02026,0.81772,0.70928
20,0.1,0.01823,0.83595,0.75579
21,0.1,0.01641,0.85236,0.8023
22,0.1,0.01477,0.86713,0.84881
23,0.1,0.01329,0.88042,0.89532
24,0.1,0.01196,0.89238,0.94183
25,0.1,0.01076,0.90314,0.98834
26,1.0,0.09688,1.0,1.0
