name,class,itemLV,battleLV,expeditionLV,engraving_simple,engraving_detail,stat,card,gem_simple,equipmentLV,power,vitality
유혈랑,홀리나이트,1621.67,60,232,333331,"구슬동자 Lv. 3,급소 타격 Lv. 3,각성 Lv. 3,축복의 오라 Lv. 3,전문의 Lv. 3,중갑 착용 Lv. 1","치명 65,특화 555,신속 1815","남겨진 바람의 절벽 6세트,30각성합계","10레벨 홍염 x3,9레벨 홍염 x4,8레벨 멸화 x2,7레벨 멸화 x1,7레벨 홍염 x1","24 사로잡힌 광기의 갈망 한손검,17 사로잡힌 광기의 갈망 투구,20 사로잡힌 광기의 갈망 상의,20 사로잡힌 광기의 갈망 하의,18 사로잡힌 광기의 갈망 장갑,17 사로잡힌 광기의 갈망 견갑",54324,204763
강배,스트라이커,1616.67,60,255,333331,"원한 Lv. 3,기습의 대가 Lv. 3,돌격대장 Lv. 3,질량 증가 Lv. 3,아드레날린 Lv. 3,오의난무 Lv. 1","치명 363,특화 829,신속 1243","세상을 구하는 빛 6세트,30각성합계","10레벨 멸화 x3,10레벨 홍염 x4,8레벨 홍염 x1,7레벨 홍염 x3","20 타락한 마수의 사멸 건틀릿,18 타락한 마수의 사멸 머리장식,18 타락한 마수의 사멸 상의,18 타락한 마수의 사멸 하의,18 타락한 마수의 사멸 장갑,18 타락한 마수의 사멸 견갑",59255,184350
킹기다킹기,리퍼,1613.33,60,269,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,달의 소리 Lv. 3,아드레날린 Lv. 1","치명 617,특화 1806,신속 56","카제로스의 군단장 6세트,18각성합계","9레벨 멸화 x3,7레벨 홍염 x8","21 타락한 마수의 사멸 대거,17 타락한 마수의 사멸 머리장식,17 타락한 마수의 사멸 상의,17 타락한 마수의 사멸 하의,17 타락한 마수의 사멸 장갑,17 타락한 마수의 사멸 견갑",58486,190973
남순이견주,인파이터,1608.33,60,187,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,극의: 체술 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,아드레날린 Lv. 1","치명 1282,특화 60,신속 1133","세상을 구하는 빛 6세트,30각성합계","10레벨 멸화 x5,9레벨 멸화 x2,7레벨 홍염 x4","20 타락한 마수의 사멸 헤비 건틀릿,16 타락한 마수의 사멸 머리장식,16 타락한 마수의 사멸 상의,16 타락한 마수의 사멸 하의,16 타락한 마수의 사멸 장갑,16 타락한 마수의 사멸 견갑",57160,193968
너와떠나는여행,블레이드,1607.5,60,223,333322,"원한 Lv. 3,슈퍼 차지 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,잔재된 기운 Lv. 2,아드레날린 Lv. 2","치명 618,특화 1798,신속 56","세상을 구하는 빛 6세트,30각성합계","10레벨 멸화 x1,7레벨 멸화 x4,7레벨 홍염 x6","19 타락한 마수의 사멸 검,15 타락한 마수의 사멸 머리장식,15 타락한 마수의 사멸 상의,15 타락한 마수의 사멸 하의,19 타락한 마수의 사멸 장갑,16 타락한 마수의 사멸 견갑",56040,201718
퍄닥퍄닥퍄닥퍄닥,아르카나,1606.67,60,236,333221,"원한 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 3,황제의 칙령 Lv. 2,선수필승 Lv. 2,황후의 은총 Lv. 1","치명 647,특화 1782,신속 48","세상을 구하는 빛 6세트,30각성합계","10레벨 멸화 x2,9레벨 멸화 x1,9레벨 홍염 x1,8레벨 홍염 x3,7레벨 홍염 x4","20 가라앉은 욕망의 배신 마법 덱,15 전이된 몽환의 악몽 머리장식,16 가라앉은 욕망의 배신 상의,16 가라앉은 욕망의 배신 하의,16 가라앉은 욕망의 배신 장갑,15 전이된 몽환의 악몽 어깨장식",48607,175788
피망꼬치구이,창술사,1605.0,60,192,333332,"원한 Lv. 3,예리한 둔기 Lv. 3,돌격대장 Lv. 3,절정 Lv. 3,질량 증가 Lv. 3,저주받은 인형 Lv. 2","치명 61,특화 1778,신속 620","세상을 구하는 빛 6세트,30각성합계","10레벨 홍염 x1,9레벨 멸화 x6,9레벨 홍염 x1,7레벨 홍염 x3","21 전이된 몽환의 악몽 창,15 전이된 몽환의 악몽 머리장식,15 전이된 몽환의 악몽 상의,15 전이된 몽환의 악몽 하의,15 전이된 몽환의 악몽 장갑,15 전이된 몽환의 악몽 견갑",62479,193419
신레델라,워로드,1605.0,60,189,333331,"저주받은 인형 Lv. 3,안정된 상태 Lv. 3,원한 Lv. 3,바리케이드 Lv. 3,정밀 단도 Lv. 3,전투 태세 Lv. 1","치명 61,특화 1800,신속 537","세상을 구하는 빛 6세트,18각성합계",,"18 전이된 몽환의 악몽 랜스,16 전이된 몽환의 악몽 투구,15 전이된 몽환의 악몽 상의,16 전이된 몽환의 악몽 하의,15 전이된 몽환의 악몽 장갑,16 전이된 몽환의 악몽 견갑",54136,225826
배낼,배틀마스터,1603.33,60,238,333331,"원한 Lv. 3,초심 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,돌격대장 Lv. 3,각성 Lv. 1","치명 684,특화 60,신속 1827","세상을 구하는 빛 6세트,30각성합계","10레벨 홍염 x1,9레벨 멸화 x4,9레벨 홍염 x1,8레벨 멸화 x1,8레벨 홍염 x2,7레벨 홍염 x2","19 타락한 마수의 사멸 건틀릿,15 고요한 광기의 지배 머리장식,15 고요한 광기의 지배 상의,15 고요한 광기의 지배 하의,15 타락한 마수의 사멸 장갑,15 고요한 광기의 지배 견갑",56769,235812
블루밍소설,배틀마스터,1600.83,60,224,333331,"원한 Lv. 3,오의 강화 Lv. 3,예리한 둔기 Lv. 3,돌격대장 Lv. 3,질량 증가 Lv. 3,아드레날린 Lv. 1","치명 65,특화 1167,신속 1251","카제로스의 군단장 6세트,18각성합계","10레벨 홍염 x2,9레벨 멸화 x5,9레벨 홍염 x1,7레벨 홍염 x3","19 차오른 몽환의 환각 건틀릿,14 차오른 몽환의 환각 머리장식,14 차오른 몽환의 환각 상의,14 차오른 몽환의 환각 하의,15 차오른 몽환의 환각 장갑,15 차오른 몽환의 환각 견갑",56171,182865
