name,class,itemLV,battleLV,expeditionLV,engraving_simple,engraving_detail,stat,card,gem_simple,equipmentLV,power,vitality
유혈랑,홀리나이트,1620.0,60,229,333331,"구슬동자 Lv. 3,급소 타격 Lv. 3,각성 Lv. 3,축복의 오라 Lv. 3,전문의 Lv. 3,중갑 착용 Lv. 1","치명 65,특화 555,신속 1819","남겨진 바람의 절벽 6세트,30각성합계","10레벨 홍염 x3,9레벨 홍염 x4,8레벨 멸화 x2,7레벨 멸화 x1,7레벨 홍염 x1","23 사로잡힌 광기의 갈망 한손검,17 사로잡힌 광기의 갈망 투구,20 사로잡힌 광기의 갈망 상의,20 사로잡힌 광기의 갈망 하의,17 사로잡힌 광기의 갈망 장갑,17 사로잡힌 광기의 갈망 견갑",53159,207279
킹기다킹기,리퍼,1613.33,60,264,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,달의 소리 Lv. 3,아드레날린 Lv. 1","치명 617,특화 1808,신속 56","세상을 구하는 빛 6세트,30각성합계","10레벨 멸화 x3,10레벨 홍염 x3,7레벨 홍염 x5","21 타락한 마수의 사멸 대거,17 타락한 마수의 사멸 머리장식,17 타락한 마수의 사멸 상의,17 타락한 마수의 사멸 하의,17 타락한 마수의 사멸 장갑,17 타락한 마수의 사멸 견갑",58555,189905
강배,스트라이커,1612.5,60,248,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,기습의 대가 Lv. 3,일격필살 Lv. 3,아드레날린 Lv. 3,에테르 포식자 Lv. 1","치명 668,특화 1776,신속 56","라제니스의 운명 2세트,10각성합계","10레벨 멸화 x3,10레벨 홍염 x4,8레벨 홍염 x1,7레벨 홍염 x3","19 타락한 마수의 사멸 건틀릿,16 타락한 마수의 사멸 머리장식,18 타락한 마수의 사멸 상의,16 타락한 마수의 사멸 하의,18 타락한 마수의 사멸 장갑,18 타락한 마수의 사멸 견갑",49308,183032
송저송,소서리스,1605.83,60,245,333331,"원한 Lv. 3,점화 Lv. 3,타격의 대가 Lv. 3,속전속결 Lv. 3,정밀 단도 Lv. 3,아드레날린 Lv. 1","치명 163,특화 1815,신속 522","세상을 구하는 빛 6세트,30각성합계","10레벨 멸화 x3,9레벨 멸화 x4,9레벨 홍염 x4","20 전이된 몽환의 악몽 롱 스태프,20 몽환의 악몽 머리장식,16 전이된 몽환의 악몽 상의,16 전이된 몽환의 악몽 하의,16 전이된 몽환의 악몽 장갑,16 전이된 몽환의 악몽 어깨장식",49466,181377
너와떠나는여행,블레이드,1604.17,60,221,33333,"기습의 대가 Lv. 3,원한 Lv. 3,저주받은 인형 Lv. 3,버스트 Lv. 3,아드레날린 Lv. 3","치명 621,특화 1755,신속 56","세상을 구하는 빛 6세트,30각성합계","10레벨 멸화 x1,7레벨 멸화 x3,7레벨 홍염 x7","19 타락한 마수의 사멸 검,15 타락한 마수의 사멸 머리장식,13 타락한 마수의 사멸 상의,20 마수의 사멸 하의,19 타락한 마수의 사멸 장갑,16 타락한 마수의 사멸 견갑",55600,200281
퍄닥퍄닥퍄닥퍄닥,아르카나,1603.33,60,233,333331,"원한 Lv. 3,저주받은 인형 Lv. 3,바리케이드 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 3,황후의 은총 Lv. 1","치명 654,특화 1782,신속 48","세상을 구하는 빛 6세트,30각성합계","10레벨 멸화 x2,9레벨 멸화 x1,8레벨 홍염 x3,7레벨 홍염 x5","20 전이된 몽환의 악몽 마법 덱,14 전이된 몽환의 악몽 머리장식,16 전이된 몽환의 악몽 상의,15 전이된 몽환의 악몽 하의,16 전이된 몽환의 악몽 장갑,20 몽환의 악몽 어깨장식",55758,174662
남순이견주,인파이터,1601.67,60,177,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,극의: 체술 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,아드레날린 Lv. 1","치명 1166,특화 60,신속 1133","세상을 구하는 빛 6세트,18각성합계","10레벨 멸화 x5,9레벨 멸화 x2,7레벨 홍염 x4","20 타락한 마수의 사멸 헤비 건틀릿,16 타락한 마수의 사멸 머리장식,19 마수의 사멸 상의,13 타락한 마수의 사멸 하의,16 타락한 마수의 사멸 장갑,16 타락한 마수의 사멸 견갑",56339,177299
피망꼬치구이,창술사,1600.0,60,188,333332,"원한 Lv. 3,예리한 둔기 Lv. 3,돌격대장 Lv. 3,절정 Lv. 3,질량 증가 Lv. 3,저주받은 인형 Lv. 2","치명 61,특화 1778,신속 620","세상을 구하는 빛 6세트,30각성합계","10레벨 홍염 x1,9레벨 멸화 x6,9레벨 홍염 x1,7레벨 홍염 x3","25 몽환의 악몽 창,14 전이된 몽환의 악몽 머리장식,15 전이된 몽환의 악몽 상의,14 전이된 몽환의 악몽 하의,14 전이된 몽환의 악몽 장갑,15 전이된 몽환의 악몽 견갑",60278,206678
신레델라,워로드,1600.0,60,175,333331,"저주받은 인형 Lv. 3,안정된 상태 Lv. 3,원한 Lv. 3,바리케이드 Lv. 3,정밀 단도 Lv. 3,전투 태세 Lv. 1","치명 30,특화 1786,신속 519","세상을 구하는 빛 6세트,18각성합계",,"20 몽환의 악몽 랜스,16 전이된 몽환의 악몽 투구,15 전이된 몽환의 악몽 상의,15 전이된 몽환의 악몽 하의,15 전이된 몽환의 악몽 장갑,16 전이된 몽환의 악몽 견갑",49774,217962
배낼,배틀마스터,1599.17,60,235,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,돌격대장 Lv. 3,아드레날린 Lv. 3,오의 강화 Lv. 1","치명 185,특화 840,신속 1464","세상을 구하는 빛 6세트,30각성합계","10레벨 홍염 x1,9레벨 멸화 x4,9레벨 홍염 x1,8레벨 홍염 x2,7레벨 홍염 x3","18 차오른 몽환의 환각 건틀릿,15 차오른 몽환의 환각 머리장식,15 차오른 몽환의 환각 상의,19 몽환의 환각 하의,15 차오른 몽환의 환각 장갑,15 차오른 몽환의 환각 견갑",55486,223673
커피바드세요,바드,1597.5,60,198,333331,"급소 타격 Lv. 3,최대 마나 증가 Lv. 3,절실한 구원 Lv. 3,각성 Lv. 3,전문의 Lv. 3,중갑 착용 Lv. 1","치명 61,특화 727,신속 1516","남겨진 바람의 절벽 6세트,30각성합계","10레벨 홍염 x1,7레벨 홍염 x7,5레벨 홍염 x1","19 광기의 갈망 리아네 하프,15 사로잡힌 광기의 갈망 머리장식,16 사로잡힌 광기의 갈망 상의,15 사로잡힌 광기의 갈망 하의,15 사로잡힌 광기의 갈망 장갑,15 사로잡힌 광기의 갈망 어깨장식",41622,184823
블루밍소설,배틀마스터,1590.83,60,219,333331,"원한 Lv. 3,오의 강화 Lv. 3,예리한 둔기 Lv. 3,돌격대장 Lv. 3,질량 증가 Lv. 3,아드레날린 Lv. 1","치명 65,특화 1167,신속 1251","세상을 구하는 빛 6세트,30각성합계","10레벨 홍염 x2,9레벨 멸화 x5,9레벨 홍염 x1,7레벨 홍염 x3","18 차오른 몽환의 환각 건틀릿,19 몽환의 환각 머리장식,19 몽환의 환각 상의,14 차오른 몽환의 환각 하의,13 차오른 몽환의 환각 장갑,12 차오른 몽환의 환각 견갑",53998,180190
채연,기공사,1588.33,60,240,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,역천지체 Lv. 3,아드레날린 Lv. 3,속전속결 Lv. 1","치명 535,특화 1622,신속 125","세상을 구하는 빛 6세트,30각성합계","9레벨 멸화 x3,9레벨 홍염 x2,7레벨 멸화 x2,7레벨 홍염 x4","22 몽환의 환각 기공패,19 몽환의 환각 머리장식,14 차오른 몽환의 환각 상의,19 몽환의 환각 하의,14 차오른 몽환의 환각 장갑,19 몽환의 환각 견갑",49942,161671
보이드어벤저,버서커,1581.67,60,163,33333,"원한 Lv. 3,예리한 둔기 Lv. 3,광전사의 비기 Lv. 3,저주받은 인형 Lv. 3,돌격대장 Lv. 3","치명 613,특화 1472,신속 350","세상을 구하는 빛 6세트,18각성합계","9레벨 멸화 x2,7레벨 멸화 x3,7레벨 홍염 x6","20 숨죽인 배신의 부름 대검,19 아득한 배신의 시선 투구,19 아득한 배신의 시선 상의,19 아득한 배신의 시선 하의,19 숨죽인 배신의 부름 장갑,19 숨죽인 배신의 부름 견갑",45239,172303
S순이견주2,소서리스,1580.0,60,177,333331,"원한 Lv. 3,점화 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 3,속전속결 Lv. 3,에테르 포식자 Lv. 1","치명 138,특화 1764,신속 539","세상을 구하는 빛 6세트,18각성합계","9레벨 멸화 x2,7레벨 멸화 x3,7레벨 홍염 x5","20 분열한 환각의 절규 롱 스태프,18 몽환의 환각 머리장식,19 분열한 환각의 절규 상의,19 몽환의 환각 하의,19 몽환의 환각 장갑,19 몽환의 환각 어깨장식",40956,147580
데이지아SR,소서리스,1580.0,60,199,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,환류 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 3,돌격대장 Lv. 1","치명 1532,특화 58,신속 835","세상을 구하는 빛 6세트,30각성합계","9레벨 멸화 x4,9레벨 홍염 x1,8레벨 멸화 x3,8레벨 홍염 x3","20 몽환의 악몽 롱 스태프,19 몽환의 악몽 머리장식,19 몽환의 악몽 상의,18 몽환의 악몽 하의,19 몽환의 악몽 장갑,19 몽환의 악몽 어깨장식",41160,140101
잠옷소년,호크아이,1568.33,60,170,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,죽음의 습격 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 1","치명 1388,특화 153,신속 721","세상을 구하는 빛 6세트,18각성합계",,"19 숨죽인 배신의 부름 활,18 숨죽인 배신의 부름 모자,17 숨죽인 배신의 부름 상의,17 아득한 배신의 시선 하의,18 숨죽인 배신의 부름 장갑,18 숨죽인 배신의 부름 견갑",44986,144468
메리크리스마스,바드,1561.67,60,125,333331,"최대 마나 증가 Lv. 3,절실한 구원 Lv. 3,중갑 착용 Lv. 3,각성 Lv. 3,전문의 Lv. 3,위기 모면 Lv. 1","치명 20,특화 607,신속 1680","세상을 구하는 빛 6세트,12각성합계","8레벨 홍염 x1,7레벨 멸화 x1,7레벨 홍염 x9","16 공허한 매혹의 달 리아네 하프,18 욕망의 매혹 머리장식,17 떠오른 매혹의 눈 상의,17 떠오른 매혹의 눈 하의,17 떠오른 매혹의 눈 장갑,18 공허한 매혹의 달 어깨장식",35840,127724
훈건장,스카우터,1560.0,60,124,33333,"원한 Lv. 3,바리케이드 Lv. 3,돌격대장 Lv. 3,진화의 유산 Lv. 3,아드레날린 Lv. 3","치명 602,특화 1640,신속 46","세상을 구하는 빛 6세트,18각성합계",5레벨 원해 x1,"20 속삭이는 환각의 메아리 서브 머신건,16 속삭이는 환각의 메아리 모자,16 분열한 환각의 절규 상의,16 속삭이는 환각의 메아리 하의,17 환각의 절규 장갑,17 속삭이는 환각의 메아리 견갑",37278,129563
귀여운눈나,건슬링어,1550.0,60,181,333331,"저주받은 인형 Lv. 3,원한 Lv. 3,예리한 둔기 Lv. 3,피스메이커 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 1","치명 1456,특화 769,신속 54","세상을 구하는 빛 6세트,30각성합계","7레벨 멸화 x6,7레벨 홍염 x5","19 그릇된 구원의 여로 총,15 끝없는 구원의 사슬 모자,15 끝없는 구원의 사슬 상의,15 끝없는 구원의 사슬 하의,16 끝없는 구원의 사슬 장갑,16 끝없는 구원의 사슬 견갑",43723,138949
배천덕,건슬링어,1545.0,60,161,333321,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 2,피스메이커 Lv. 1","치명 1224,특화 528,신속 539","세상을 구하는 빛 6세트,18각성합계","7레벨 멸화 x7,7레벨 홍염 x4","17 아득한 배신의 시선 총,15 숨죽인 배신의 부름 모자,15 숨죽인 배신의 부름 상의,15 숨죽인 배신의 부름 하의,15 숨죽인 배신의 부름 장갑,16 숨죽인 배신의 부름 견갑",40343,119681
명진님s,바드,1545.0,60,162,33333,"급소 타격 Lv. 3,절실한 구원 Lv. 3,중갑 착용 Lv. 3,각성 Lv. 3,전문의 Lv. 3","치명 45,특화 828,신속 1568",필드 보스 II 4세트,"5레벨 홍염 x9,2레벨 멸화 x1","15 드리운 갈망의 경계 리아네 하프,16 대면한 갈망의 타락 머리장식,16 대면한 갈망의 타락 상의,15 대면한 갈망의 타락 하의,16 드리운 갈망의 경계 장갑,15 드리운 갈망의 경계 어깨장식",33625,134343
파이터팽,인파이터,1545.0,60,181,33333,"원한 Lv. 3,예리한 둔기 Lv. 3,극의: 체술 Lv. 3,기습의 대가 Lv. 3,아드레날린 Lv. 3","치명 1027,특화 55,신속 1134","세상을 구하는 빛 6세트,18각성합계","7레벨 멸화 x6,7레벨 홍염 x5","17 아득한 배신의 시선 헤비 건틀릿,15 아득한 배신의 시선 머리장식,15 숨죽인 배신의 부름 상의,15 숨죽인 배신의 부름 하의,16 아득한 배신의 시선 장갑,15 아득한 배신의 시선 견갑",34514,129081
헵짚,데모닉,1545.0,60,119,33333,"정기 흡수 Lv. 3,원한 Lv. 3,예리한 둔기 Lv. 3,돌격대장 Lv. 3,멈출 수 없는 충동 Lv. 3","치명 535,특화 1763,신속 125","남겨진 바람의 절벽 6세트,12각성합계","9레벨 멸화 x1,8레벨 홍염 x1","18 속삭이는 환각의 메아리 데모닉웨폰,15 속삭이는 환각의 메아리 머리장식,16 속삭이는 환각의 메아리 상의,14 속삭이는 환각의 메아리 하의,15 속삭이는 환각의 메아리 장갑,15 속삭이는 환각의 메아리 견갑",34097,135878
추합,스트라이커,1541.67,60,170,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,일격필살 Lv. 3,슈퍼 차지 Lv. 1","치명 791,특화 1394,신속 40","남겨진 바람의 절벽 6세트,12각성합계",,"18 아득한 배신의 시선 건틀릿,14 아득한 배신의 시선 머리장식,15 숨죽인 배신의 부름 상의,14 아득한 배신의 시선 하의,15 아득한 배신의 시선 장갑,15 아득한 배신의 시선 견갑",41491,131873
능동로무법자,건슬링어,1541.67,60,202,333321,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 2,피스메이커 Lv. 1","치명 1106,특화 623,신속 609","세상을 구하는 빛 6세트,18각성합계","8레벨 멸화 x1,8레벨 홍염 x2,7레벨 멸화 x6,7레벨 홍염 x2","16 그릇된 구원의 여로 총,15 그릇된 구원의 여로 모자,15 그릇된 구원의 여로 상의,15 그릇된 구원의 여로 하의,15 그릇된 구원의 여로 장갑,15 그릇된 구원의 여로 견갑",38370,116151
야레기,블레이드,1540.0,60,188,33333,"원한 Lv. 3,슈퍼 차지 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,잔재된 기운 Lv. 3","치명 553,특화 1730,신속 56","세상을 구하는 빛 6세트,18각성합계","8레벨 멸화 x1,7레벨 멸화 x4,7레벨 홍염 x5,6레벨 홍염 x1","15 메마른 사멸의 밤 검,15 메마른 사멸의 밤 머리장식,18 메마른 사멸의 밤 상의,14 메마른 사멸의 밤 하의,14 메마른 사멸의 밤 장갑,14 메마른 사멸의 밤 견갑",37728,149867
능동로솜주먹,리퍼,1540.0,60,202,33332,"예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,갈증 Lv. 3,원한 Lv. 2","치명 517,특화 1426,신속 340","세상을 구하는 빛 6세트,18각성합계","7레벨 멸화 x3,7레벨 홍염 x4,6레벨 홍염 x2,5레벨 홍염 x2","15 고결한 지배의 손길 대거,15 고결한 지배의 손길 머리장식,15 고결한 지배의 손길 상의,15 고결한 지배의 손길 하의,15 고결한 지배의 손길 장갑,15 고결한 지배의 손길 견갑",37271,116009
썬연료2,건슬링어,1507.5,60,161,333321,"정기 흡수 Lv. 3,원한 Lv. 3,예리한 둔기 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 2,피스메이커 Lv. 1","치명 1440,특화 436,신속 29","세상을 구하는 빛 6세트,18각성합계","8레벨 멸화 x4,8레벨 홍염 x5,7레벨 멸화 x2","22 추악한 악몽의 꽃 총,21 추악한 악몽의 꽃 모자,21 추악한 악몽의 꽃 상의,21 추악한 악몽의 꽃 하의,21 추악한 악몽의 꽃 장갑,21 추악한 악몽의 꽃 견갑",29181,123834
