name,class,itemLV,battleLV,expeditionLV,engraving_simple,engraving_detail,stat,card,gem_simple,equipment,equipment_name,accessory,power,vitality
유혈랑,홀리나이트,1620.0,60,228,333331,"구슬동자 Lv. 3,급소 타격 Lv. 3,각성 Lv. 3,축복의 오라 Lv. 3,전문의 Lv. 3,중갑 착용 Lv. 1","치명 65,특화 555,신속 1819","남겨진 바람의 절벽 6세트,30각성합계","10홍 x3,9홍 x4,8멸 x2,7멸 x1,7홍 x1","한손검/23/lv1525/0,투구/17/lv1525/0,상의/20/lv1525/0,하의/20/lv1525/0,장갑/17/lv1525/0,견갑/17/lv1525/0","사로잡힌 광기의 갈망 한손검,사로잡힌 광기의 갈망 투구,사로잡힌 광기의 갈망 상의,사로잡힌 광기의 갈망 하의,사로잡힌 광기의 갈망 장갑,사로잡힌 광기의 갈망 견갑",,53158,207279
킹기다킹기,리퍼,1613.33,60,264,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,달의 소리 Lv. 3,아드레날린 Lv. 1","치명 617,특화 1644,신속 56","세상을 구하는 빛 6세트,30각성합계","10멸 x3,10홍 x3,7홍 x5","대거/21/lv1525/0,머리장식/17/lv1525/0,상의/17/lv1525/0,하의/17/lv1525/0,장갑/17/lv1525/0,견갑/17/lv1525/0","가라앉은 욕망의 배신 대거,가라앉은 욕망의 배신 머리장식,가라앉은 욕망의 배신 상의,가라앉은 욕망의 배신 하의,가라앉은 욕망의 배신 장갑,가라앉은 욕망의 배신 견갑",,58201,180863
강배,스트라이커,1611.67,60,248,333331,"원한 Lv. 3,기습의 대가 Lv. 3,돌격대장 Lv. 3,질량 증가 Lv. 3,아드레날린 Lv. 3,오의난무 Lv. 1","치명 363,특화 829,신속 1130","세상을 구하는 빛 6세트,30각성합계","10멸 x3,10홍 x4,8홍 x1,7홍 x3","건틀릿/19/lv1525/0,머리장식/15/lv1525/0,상의/18/lv1525/0,하의/16/lv1525/0,장갑/18/lv1525/0,견갑/18/lv1525/0","타락한 마수의 사멸 건틀릿,타락한 마수의 사멸 머리장식,타락한 마수의 사멸 상의,타락한 마수의 사멸 하의,타락한 마수의 사멸 장갑,타락한 마수의 사멸 견갑",,57974,174043
송저송,소서리스,1605.83,60,245,333331,"원한 Lv. 3,점화 Lv. 3,타격의 대가 Lv. 3,속전속결 Lv. 3,정밀 단도 Lv. 3,아드레날린 Lv. 1","치명 163,특화 1650,신속 522","세상을 구하는 빛 6세트,30각성합계","10멸 x3,9멸 x4,9홍 x4","스태프/20/lv1525/0,머리장식/20/lv1390/0,상의/16/lv1525/0,하의/16/lv1525/0,장갑/16/lv1525/0,어깨장식/16/lv1525/0","전이된 몽환의 악몽 롱 스태프,몽환의 악몽 머리장식,전이된 몽환의 악몽 상의,전이된 몽환의 악몽 하의,전이된 몽환의 악몽 장갑,전이된 몽환의 악몽 어깨장식",,49119,172741
퍄닥퍄닥퍄닥퍄닥,아르카나,1603.33,60,233,333221,"원한 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 3,황제의 칙령 Lv. 2,선수필승 Lv. 2,황후의 은총 Lv. 1","치명 647,특화 1782,신속 48","세상을 구하는 빛 6세트,30각성합계","10멸 x2,9멸 x1,8홍 x3,7홍 x5","덱/20/lv1525/0,머리장식/14/lv1525/0,상의/16/lv1525/0,하의/15/lv1525/0,장갑/16/lv1525/0,어깨장식/20/lv1390/0","가라앉은 욕망의 배신 마법 덱,전이된 몽환의 악몽 머리장식,가라앉은 욕망의 배신 상의,가라앉은 욕망의 배신 하의,가라앉은 욕망의 배신 장갑,욕망의 배신 어깨장식",,48136,174662
너와떠나는여행,블레이드,1603.33,60,221,333322,"원한 Lv. 3,슈퍼 차지 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,잔재된 기운 Lv. 2,아드레날린 Lv. 2","치명 618,특화 1798,신속 56","세상을 구하는 빛 6세트,30각성합계","10멸 x1,7멸 x4,7홍 x6","검/19/lv1525/0,머리장식/15/lv1525/0,상의/13/lv1525/0,하의/20/lv1390/0,장갑/19/lv1525/0,견갑/15/lv1525/0","타락한 마수의 사멸 검,타락한 마수의 사멸 머리장식,타락한 마수의 사멸 상의,마수의 사멸 하의,타락한 마수의 사멸 장갑,타락한 마수의 사멸 견갑",,55451,199552
피망꼬치구이,창술사,1600.0,60,187,333332,"원한 Lv. 3,예리한 둔기 Lv. 3,돌격대장 Lv. 3,절정 Lv. 3,질량 증가 Lv. 3,저주받은 인형 Lv. 2","치명 61,특화 1778,신속 620","세상을 구하는 빛 6세트,30각성합계","10홍 x1,9멸 x6,9홍 x1,7홍 x3","창/25/lv1390/0,머리장식/14/lv1525/0,상의/15/lv1525/0,하의/14/lv1525/0,장갑/14/lv1525/0,견갑/15/lv1525/0","몽환의 악몽 창,전이된 몽환의 악몽 머리장식,전이된 몽환의 악몽 상의,전이된 몽환의 악몽 하의,전이된 몽환의 악몽 장갑,전이된 몽환의 악몽 견갑",,59019,192565
신레델라,워로드,1600.0,60,175,333331,"저주받은 인형 Lv. 3,안정된 상태 Lv. 3,원한 Lv. 3,바리케이드 Lv. 3,정밀 단도 Lv. 3,전투 태세 Lv. 1","치명 30,특화 1786,신속 519","세상을 구하는 빛 6세트,18각성합계",,"랜스/20/lv1390/0,투구/16/lv1525/0,상의/15/lv1525/0,하의/15/lv1525/0,장갑/15/lv1525/0,견갑/16/lv1525/0","욕망의 배신 랜스,가라앉은 욕망의 배신 투구,가라앉은 욕망의 배신 상의,가라앉은 욕망의 배신 하의,가라앉은 욕망의 배신 장갑,가라앉은 욕망의 배신 견갑",,49774,217962
남순이견주,인파이터,1600.0,60,176,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,극의: 체술 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,아드레날린 Lv. 1","치명 1165,특화 58,신속 1133","카제로스의 군단장 6세트,18각성합계","10멸 x4,9멸 x3,7홍 x4","건틀릿/20/lv1525/0,머리장식/16/lv1525/0,상의/19/lv1390/0,하의/19/lv1390/0,장갑/16/lv1525/0,견갑/16/lv1525/0","타락한 마수의 사멸 헤비 건틀릿,타락한 마수의 사멸 머리장식,마수의 사멸 상의,마수의 사멸 하의,타락한 마수의 사멸 장갑,타락한 마수의 사멸 견갑",,56189,176878
배낼,배틀마스터,1599.17,60,235,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,돌격대장 Lv. 3,아드레날린 Lv. 3,오의 강화 Lv. 1","치명 185,특화 840,신속 1464","세상을 구하는 빛 6세트,30각성합계","10홍 x1,9멸 x4,9홍 x1,8홍 x2,7홍 x3","건틀릿/18/lv1525/0,머리장식/15/lv1525/0,상의/15/lv1525/0,하의/19/lv1390/0,장갑/15/lv1525/0,견갑/15/lv1525/0","차오른 몽환의 환각 건틀릿,차오른 몽환의 환각 머리장식,차오른 몽환의 환각 상의,몽환의 환각 하의,차오른 몽환의 환각 장갑,차오른 몽환의 환각 견갑",,54328,207246
커피바드세요,바드,1595.83,60,198,333331,"급소 타격 Lv. 3,최대 마나 증가 Lv. 3,절실한 구원 Lv. 3,각성 Lv. 3,전문의 Lv. 3,중갑 착용 Lv. 1","치명 61,특화 727,신속 1516","남겨진 바람의 절벽 6세트,30각성합계","10홍 x1,7홍 x7,5홍 x1","하프/19/lv1390/0,머리장식/14/lv1525/0,상의/16/lv1525/0,하의/15/lv1525/0,장갑/15/lv1525/0,어깨장식/14/lv1525/0","광기의 갈망 리아네 하프,사로잡힌 광기의 갈망 머리장식,사로잡힌 광기의 갈망 상의,사로잡힌 광기의 갈망 하의,사로잡힌 광기의 갈망 장갑,사로잡힌 광기의 갈망 어깨장식",,41411,184357
블루밍소설,배틀마스터,1590.83,60,219,333331,"원한 Lv. 3,오의 강화 Lv. 3,예리한 둔기 Lv. 3,돌격대장 Lv. 3,질량 증가 Lv. 3,아드레날린 Lv. 1","치명 65,특화 1167,신속 1251","세상을 구하는 빛 6세트,30각성합계","10홍 x2,9멸 x5,9홍 x1,7홍 x3","건틀릿/18/lv1525/0,머리장식/19/lv1390/0,상의/19/lv1390/0,하의/14/lv1525/0,장갑/13/lv1525/0,견갑/12/lv1525/0","차오른 몽환의 환각 건틀릿,몽환의 환각 머리장식,몽환의 환각 상의,차오른 몽환의 환각 하의,차오른 몽환의 환각 장갑,차오른 몽환의 환각 견갑",,53998,180190
채연,기공사,1588.33,60,240,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,역천지체 Lv. 3,아드레날린 Lv. 3,속전속결 Lv. 1","치명 535,특화 1784,신속 125","세상을 구하는 빛 6세트,30각성합계","9멸 x3,9홍 x2,7멸 x2,7홍 x4","기공패/22/lv1390/0,머리장식/19/lv1390/0,상의/14/lv1525/0,하의/19/lv1390/0,장갑/14/lv1525/0,견갑/19/lv1390/0","몽환의 환각 기공패,몽환의 환각 머리장식,차오른 몽환의 환각 상의,몽환의 환각 하의,차오른 몽환의 환각 장갑,몽환의 환각 견갑",,49942,169754
보이드어벤저,버서커,1581.67,60,163,33333,"원한 Lv. 3,예리한 둔기 Lv. 3,광전사의 비기 Lv. 3,저주받은 인형 Lv. 3,돌격대장 Lv. 3","치명 613,특화 1339,신속 350","세상을 구하는 빛 6세트,18각성합계","9멸 x1,7멸 x4,7홍 x6","대검/20/lv1390/0,투구/19/lv1390/0,상의/19/lv1390/0,하의/19/lv1390/0,장갑/19/lv1390/0,견갑/19/lv1390/0","숨죽인 배신의 부름 대검,아득한 배신의 시선 투구,아득한 배신의 시선 상의,아득한 배신의 시선 하의,숨죽인 배신의 부름 장갑,숨죽인 배신의 부름 견갑",,45239,164098
S순이견주2,소서리스,1580.0,60,176,333331,"원한 Lv. 3,점화 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 3,속전속결 Lv. 3,에테르 포식자 Lv. 1","치명 137,특화 1764,신속 539","세상을 구하는 빛 6세트,18각성합계","10멸 x1,9멸 x2,7멸 x3,7홍 x5","스태프/20/lv1390/0,머리장식/18/lv1390/0,상의/19/lv1390/0,하의/19/lv1390/0,장갑/19/lv1390/0,어깨장식/19/lv1390/0","숨죽인 배신의 부름 롱 스태프,몽환의 환각 머리장식,숨죽인 배신의 부름 상의,욕망의 배신 하의,욕망의 배신 장갑,몽환의 환각 어깨장식",,40954,147566
데이지아SR,소서리스,1580.0,60,199,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,환류 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 3,돌격대장 Lv. 1","치명 1532,특화 58,신속 835","카제로스의 군단장 6세트,18각성합계","9멸 x4,9홍 x1,8멸 x3,8홍 x3","스태프/20/lv1390/0,머리장식/19/lv1390/0,상의/19/lv1390/0,하의/18/lv1390/0,장갑/19/lv1390/0,어깨장식/19/lv1390/0","몽환의 악몽 롱 스태프,몽환의 악몽 머리장식,몽환의 악몽 상의,몽환의 악몽 하의,몽환의 악몽 장갑,몽환의 악몽 어깨장식",,40837,140101
잠옷소년,호크아이,1568.33,60,170,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,죽음의 습격 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 1","치명 1388,특화 153,신속 721","세상을 구하는 빛 6세트,18각성합계",,"활/19/lv1390/0,모자/18/lv1390/0,상의/17/lv1390/0,하의/17/lv1390/0,장갑/18/lv1390/0,견갑/18/lv1390/0","숨죽인 배신의 부름 활,숨죽인 배신의 부름 모자,숨죽인 배신의 부름 상의,아득한 배신의 시선 하의,숨죽인 배신의 부름 장갑,숨죽인 배신의 부름 견갑",,44986,144468
메리크리스마스,바드,1561.67,60,125,333331,"최대 마나 증가 Lv. 3,절실한 구원 Lv. 3,중갑 착용 Lv. 3,각성 Lv. 3,전문의 Lv. 3,위기 모면 Lv. 1","치명 20,특화 607,신속 1528","세상을 구하는 빛 6세트,12각성합계",,"하프/16/lv1390/0,머리장식/18/lv1390/0,상의/17/lv1390/0,하의/17/lv1390/0,장갑/17/lv1390/0,어깨장식/18/lv1390/0","드리운 갈망의 경계 리아네 하프,광기의 갈망 머리장식,대면한 갈망의 타락 상의,대면한 갈망의 타락 하의,대면한 갈망의 타락 장갑,드리운 갈망의 경계 어깨장식",,35840,121642
훈건장,스카우터,1560.0,60,124,33333,"원한 Lv. 3,바리케이드 Lv. 3,돌격대장 Lv. 3,진화의 유산 Lv. 3,아드레날린 Lv. 3","치명 602,특화 1640,신속 46","세상을 구하는 빛 6세트,18각성합계",5원해 x1,"머신건/20/lv1390/0,모자/16/lv1390/0,상의/16/lv1390/0,하의/16/lv1390/0,장갑/17/lv1390/0,견갑/17/lv1390/0","속삭이는 환각의 메아리 서브 머신건,속삭이는 환각의 메아리 모자,분열한 환각의 절규 상의,속삭이는 환각의 메아리 하의,환각의 절규 장갑,속삭이는 환각의 메아리 견갑",,37278,129563
귀여운눈나,건슬링어,1550.0,60,181,333331,"저주받은 인형 Lv. 3,원한 Lv. 3,예리한 둔기 Lv. 3,피스메이커 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 1","치명 1456,특화 769,신속 54","세상을 구하는 빛 6세트,30각성합계","7멸 x6,7홍 x5","총/19/lv1390/0,모자/15/lv1390/0,상의/15/lv1390/0,하의/15/lv1390/0,장갑/16/lv1390/0,견갑/16/lv1390/0","그릇된 구원의 여로 총,끝없는 구원의 사슬 모자,끝없는 구원의 사슬 상의,끝없는 구원의 사슬 하의,끝없는 구원의 사슬 장갑,끝없는 구원의 사슬 견갑",,43723,138949
배천덕,건슬링어,1545.0,60,160,333321,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 2,피스메이커 Lv. 1","치명 1346,특화 528,신속 539","세상을 구하는 빛 6세트,18각성합계","7멸 x7,7홍 x4","총/17/lv1390/0,모자/15/lv1390/0,상의/15/lv1390/0,하의/15/lv1390/0,장갑/15/lv1390/0,견갑/16/lv1390/0","아득한 배신의 시선 총,숨죽인 배신의 부름 모자,숨죽인 배신의 부름 상의,숨죽인 배신의 부름 하의,숨죽인 배신의 부름 장갑,숨죽인 배신의 부름 견갑",,40343,125665
명진님s,바드,1545.0,60,162,333331,"급소 타격 Lv. 3,절실한 구원 Lv. 3,중갑 착용 Lv. 3,각성 Lv. 3,전문의 Lv. 3,공격속도 감소 Lv. 1","치명 45,특화 1127,신속 1246",필드 보스 II 4세트,"5홍 x9,2멸 x1","하프/15/lv1390/0,머리장식/16/lv1390/0,상의/16/lv1390/0,하의/15/lv1390/0,장갑/16/lv1390/0,어깨장식/15/lv1390/0","드리운 갈망의 경계 리아네 하프,대면한 갈망의 타락 머리장식,대면한 갈망의 타락 상의,대면한 갈망의 타락 하의,드리운 갈망의 경계 장갑,드리운 갈망의 경계 어깨장식",,33078,133448
파이터팽,인파이터,1545.0,60,181,33333,"원한 Lv. 3,예리한 둔기 Lv. 3,극의: 체술 Lv. 3,기습의 대가 Lv. 3,아드레날린 Lv. 3","치명 1027,특화 55,신속 1134","세상을 구하는 빛 6세트,18각성합계","7멸 x6,7홍 x5","건틀릿/17/lv1390/0,머리장식/15/lv1390/0,상의/15/lv1390/0,하의/15/lv1390/0,장갑/16/lv1390/0,견갑/15/lv1390/0","아득한 배신의 시선 헤비 건틀릿,아득한 배신의 시선 머리장식,숨죽인 배신의 부름 상의,숨죽인 배신의 부름 하의,아득한 배신의 시선 장갑,아득한 배신의 시선 견갑",,34514,129081
헵짚,데모닉,1545.0,60,118,33333,"정기 흡수 Lv. 3,원한 Lv. 3,예리한 둔기 Lv. 3,돌격대장 Lv. 3,멈출 수 없는 충동 Lv. 3","치명 535,특화 1763,신속 125","남겨진 바람의 절벽 6세트,12각성합계","9멸 x1,8홍 x1","데모닉웨폰/18/lv1390/0,머리장식/15/lv1390/0,상의/16/lv1390/0,하의/14/lv1390/0,장갑/15/lv1390/0,견갑/15/lv1390/0","속삭이는 환각의 메아리 데모닉웨폰,속삭이는 환각의 메아리 머리장식,속삭이는 환각의 메아리 상의,속삭이는 환각의 메아리 하의,속삭이는 환각의 메아리 장갑,속삭이는 환각의 메아리 견갑",,34097,135878
추합,스트라이커,1541.67,60,170,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,일격필살 Lv. 3,슈퍼 차지 Lv. 1","치명 791,특화 1394,신속 40","남겨진 바람의 절벽 6세트,12각성합계",,"건틀릿/18/lv1390/0,머리장식/14/lv1390/0,상의/15/lv1390/0,하의/14/lv1390/0,장갑/15/lv1390/0,견갑/15/lv1390/0","아득한 배신의 시선 건틀릿,아득한 배신의 시선 머리장식,숨죽인 배신의 부름 상의,아득한 배신의 시선 하의,아득한 배신의 시선 장갑,아득한 배신의 시선 견갑",,41491,131873
능동로무법자,건슬링어,1541.67,60,202,333321,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 2,피스메이커 Lv. 1","치명 1006,특화 623,신속 609","세상을 구하는 빛 6세트,18각성합계","8멸 x1,8홍 x2,7멸 x6,7홍 x2","총/16/lv1390/0,모자/15/lv1390/0,상의/15/lv1390/0,하의/15/lv1390/0,장갑/15/lv1390/0,견갑/15/lv1390/0","그릇된 구원의 여로 총,그릇된 구원의 여로 모자,그릇된 구원의 여로 상의,그릇된 구원의 여로 하의,그릇된 구원의 여로 장갑,그릇된 구원의 여로 견갑",,38370,116151
야레기,블레이드,1540.0,60,188,33333,"원한 Lv. 3,슈퍼 차지 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,잔재된 기운 Lv. 3","치명 553,특화 1730,신속 56","세상을 구하는 빛 6세트,18각성합계","8멸 x1,7멸 x4,7홍 x5,6홍 x1","검/15/lv1390/0,머리장식/15/lv1390/0,상의/18/lv1390/0,하의/14/lv1390/0,장갑/14/lv1390/0,견갑/14/lv1390/0","아득한 배신의 시선 검,아득한 배신의 시선 머리장식,아득한 배신의 시선 상의,아득한 배신의 시선 하의,아득한 배신의 시선 장갑,아득한 배신의 시선 견갑",,37728,149867
능동로솜주먹,리퍼,1540.0,60,202,33331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,갈증 Lv. 1","치명 517,특화 1587,신속 54","세상을 구하는 빛 6세트,18각성합계","7멸 x3,7홍 x4,6홍 x2,5홍 x2","대거/15/lv1390/0,머리장식/15/lv1390/0,상의/15/lv1390/0,하의/15/lv1390/0,장갑/15/lv1390/0,견갑/15/lv1390/0","고결한 지배의 손길 대거,고결한 지배의 손길 머리장식,고결한 지배의 손길 상의,고결한 지배의 손길 하의,고결한 지배의 손길 장갑,고결한 지배의 손길 견갑",,37011,115214
썬연료2,건슬링어,1507.5,60,161,333321,"정기 흡수 Lv. 3,원한 Lv. 3,예리한 둔기 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 2,피스메이커 Lv. 1","치명 1584,특화 436,신속 29","세상을 구하는 빛 6세트,18각성합계","8멸 x4,8홍 x5,7멸 x2","총/22/lv1340/0,모자/21/lv1340/0,상의/21/lv1340/0,하의/21/lv1340/0,장갑/21/lv1340/0,견갑/21/lv1340/0","추악한 악몽의 꽃 총,추악한 악몽의 꽃 모자,추악한 악몽의 꽃 상의,추악한 악몽의 꽃 하의,추악한 악몽의 꽃 장갑,추악한 악몽의 꽃 견갑",,29181,130026
왜이리더워,소서리스,1475.0,59,111,33333,"원한 Lv. 3,점화 Lv. 3,타격의 대가 Lv. 3,아드레날린 Lv. 3,속전속결 Lv. 3","치명 41,특화 1471,신속 539",트리시온 6세트,"7멸 x3,6멸 x3,6홍 x4,5홍 x1","스태프/20/lv1340/0,머리장식/19/lv1340/0,상의/19/lv1340/0,하의/18/lv1340/0,장갑/19/lv1340/0,어깨장식/19/lv1340/0","악몽의 꽃 롱 스태프,악몽의 꽃 머리장식,악몽의 꽃 상의,악몽의 꽃 하의,추악한 악몽의 꽃 장갑,악몽의 꽃 어깨장식",,25119,104740
우유맛조아,버서커,1467.5,59,148,33331,"원한 Lv. 3,예리한 둔기 Lv. 3,달인의 저력 Lv. 3,저주받은 인형 Lv. 3,광기 Lv. 1","치명 1209,특화 47,신속 834",세상을 구하는 빛 6세트,"7멸 x1,7홍 x1,6멸 x1,5멸 x5,5홍 x3","대검/18/lv1340/0,투구/19/lv1340/0,상의/18/lv1340/0,하의/18/lv1340/0,장갑/19/lv1340/0,견갑/19/lv1340/0","악몽의 꽃 대검,악몽의 꽃 투구,악몽의 꽃 상의,악몽의 꽃 하의,악몽의 꽃 장갑,악몽의 꽃 견갑",,26636,98480
그리워아만,소서리스,1462.5,57,113,33331,"점화 Lv. 3,원한 Lv. 3,타격의 대가 Lv. 3,속전속결 Lv. 3,아드레날린 Lv. 1","치명 512,특화 1492,신속 27","남겨진 바람의 절벽 6세트,12각성합계","7홍 x1,6멸 x2,5멸 x3,5홍 x5","스태프/19/lv1340/0,머리장식/18/lv1340/0,상의/18/lv1340/0,하의/18/lv1340/0,장갑/18/lv1340/0,어깨장식/18/lv1340/0","악몽의 꽃 롱 스태프,악몽의 꽃 머리장식,악몽의 꽃 상의,선택의 하의,악몽의 꽃 장갑,예정된 결단의 어깨장식",,23497,86163
