name,class,itemLV,battleLV,expeditionLV,engraving_simple,engraving_detail,stat,card,gem_simple,equipment,equipment_name,accessory,power,vitality
유혈랑,홀리나이트,1649.17,60,286,333331,"구슬동자 Lv. 3,급소 타격 Lv. 3,각성 Lv. 3,축복의 오라 Lv. 3,전문의 Lv. 3,중갑 착용 Lv. 1","치명 65,특화 559,신속 1834","남겨진 바람의 절벽,30각","10홍 x4,9홍 x4,7멸 x3","한손검/25/lv1525/93,투구/25/lv1525/96,상의/25/lv1525/100,하의/25/lv1525/99,장갑/24/lv1525/97,견갑/25/lv1525/100","사로잡힌 광기의 갈망 한손검,사로잡힌 광기의 갈망 투구,사로잡힌 광기의 갈망 상의,사로잡힌 광기의 갈망 하의,사로잡힌 광기의 갈망 장갑,사로잡힌 광기의 갈망 견갑","목걸이/고대/93/중갑 착용+6_급소 타격+3/특화/신속,귀걸이/고대/100/급소 타격+6_전문의+3/신속,귀걸이/고대/100/구슬동자+4_각성+3/신속,반지/고대/100/급소 타격+6_구슬동자+3/신속,반지/고대/80/축복의 오라+3_각성+5/신속",69740,267738
강배,스트라이커,1635.0,60,300,333332,"원한 Lv. 3,예리한 둔기 Lv. 3,기습의 대가 Lv. 3,일격필살 Lv. 3,아드레날린 Lv. 3,저주받은 인형 Lv. 2","치명 646,특화 1819,신속 65","세 우마르가 오리라,15각","10멸 x3,10홍 x8","건틀릿/25/lv1525/100,머리장식/21/lv1525/91,상의/21/lv1525/98,하의/21/lv1525/91,장갑/22/lv1525/89,견갑/22/lv1525/90","타락한 마수의 사멸 건틀릿,타락한 마수의 사멸 머리장식,타락한 마수의 사멸 상의,타락한 마수의 사멸 하의,타락한 마수의 사멸 장갑,타락한 마수의 사멸 견갑","목걸이/고대/95/아드레날린+6_기습의 대가+3/치명/특화,귀걸이/고대/100/원한+6_예리한 둔기+3/특화,귀걸이/고대/100/일격필살+3_원한+6/특화,반지/고대/100/기습의 대가+6_원한+3/특화,반지/고대/100/기습의 대가+6_저주받은 인형+3/특화",69954,231254
신레델라,워로드,1634.17,60,256,333331,"안정된 상태 Lv. 3,원한 Lv. 3,예리한 둔기 Lv. 3,바리케이드 Lv. 3,아드레날린 Lv. 3,전투 태세 Lv. 1","치명 556,특화 1801,신속 177","세상을 구하는 빛,30각",,"랜스/24/lv1525/96,투구/22/lv1525/98,상의/21/lv1525/89,하의/21/lv1525/92,장갑/21/lv1525/87,견갑/22/lv1525/95","가라앉은 욕망의 배신 랜스,가라앉은 욕망의 배신 투구,가라앉은 욕망의 배신 상의,가라앉은 욕망의 배신 하의,가라앉은 욕망의 배신 장갑,가라앉은 욕망의 배신 견갑","목걸이/고대/95/예리한 둔기+5_안정된 상태+3/치명/특화,귀걸이/고대/100/원한+5_바리케이드+3/특화,귀걸이/고대/91/안정된 상태+6_아드레날린+3/특화,반지/고대/82/전투 태세+5_예리한 둔기+3/특화,반지/고대/92/안정된 상태+6_원한+3/특화",68117,252596
배선덕,소서리스,1632.5,60,214,33331,"선수필승 Lv. 3,저주받은 인형 Lv. 3,타격의 대가 Lv. 3,속전속결 Lv. 3,아드레날린 Lv. 1","치명 651,특화 1818,신속 65","세상을 구하는 빛,30각","10멸 x7,10홍 x4","스태프/24/lv1525/98,머리장식/21/lv1525/78,상의/21/lv1525/94,하의/21/lv1525/88,장갑/21/lv1525/90,어깨장식/21/lv1525/94","가라앉은 욕망의 배신 롱 스태프,가라앉은 욕망의 배신 머리장식,가라앉은 욕망의 배신 상의,가라앉은 욕망의 배신 하의,가라앉은 욕망의 배신 장갑,가라앉은 욕망의 배신 어깨장식","목걸이/고대/94/속전속결+5_타격의 대가+3/치명/특화,귀걸이/고대/96/저주받은 인형+6_원한+3/특화,귀걸이/고대/90/점화+3_아드레날린+6/특화,반지/고대/95/저주받은 인형+6_속전속결+3/특화,반지/고대/97/타격의 대가+5_저주받은 인형+3/특화",73748,197469
블루밍소설,배틀마스터,1631.67,60,279,333331,"예리한 둔기 Lv. 3,원한 Lv. 3,오의 강화 Lv. 3,돌격대장 Lv. 3,질량 증가 Lv. 3,아드레날린 Lv. 1","치명 65,특화 1822,신속 651","세상을 구하는 빛,30각","10멸 x4,10홍 x4,9홍 x2,7홍 x1","건틀릿/24/lv1525/94,머리장식/21/lv1525/95,상의/21/lv1525/88,하의/20/lv1525/94,장갑/21/lv1525/92,견갑/21/lv1525/83","차오른 몽환의 환각 건틀릿,차오른 몽환의 환각 머리장식,차오른 몽환의 환각 상의,차오른 몽환의 환각 하의,차오른 몽환의 환각 장갑,차오른 몽환의 환각 견갑","목걸이/고대/97/원한+5_질량 증가+3/특화/신속,귀걸이/고대/90/질량 증가+6_원한+3/특화,귀걸이/고대/78/오의 강화+3_예리한 둔기+5/특화,반지/고대/100/질량 증가+6_돌격대장+3/특화,반지/고대/97/아드레날린+5_예리한 둔기+3/특화",76152,215019
남순이견주,인파이터,1631.67,60,233,333331,"원한 Lv. 3,예리한 둔기 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,아드레날린 Lv. 3,충격 단련 Lv. 1","치명 654,특화 1788,신속 57","세상을 구하는 빛,30각","10멸 x6,10홍 x5","건틀릿/23/lv1525/93,머리장식/21/lv1525/98,상의/21/lv1525/92,하의/21/lv1525/89,장갑/21/lv1525/99,견갑/21/lv1525/85","타락한 마수의 사멸 헤비 건틀릿,타락한 마수의 사멸 머리장식,타락한 마수의 사멸 상의,타락한 마수의 사멸 하의,타락한 마수의 사멸 장갑,타락한 마수의 사멸 견갑","목걸이/고대/90/충격 단련+5_원한+3/치명/특화,귀걸이/고대/90/예리한 둔기+6_기습의 대가+3/특화,귀걸이/고대/93/기습의 대가+6_아드레날린+3/특화,반지/고대/95/원한+5_예리한 둔기+3/특화,반지/고대/90/예리한 둔기+6_저주받은 인형+3/특화",72486,217230
피망꼬치구이,창술사,1624.17,60,223,333332,"원한 Lv. 3,기습의 대가 Lv. 3,돌격대장 Lv. 3,절정 Lv. 3,아드레날린 Lv. 3,저주받은 인형 Lv. 2","치명 622,특화 1643,신속 55","세상을 구하는 빛,30각",,"창/23/lv1525/90,머리장식/19/lv1525/81,상의/19/lv1525/85,하의/19/lv1525/90,장갑/20/lv1525/88,견갑/19/lv1525/95","타락한 마수의 사멸 창,타락한 마수의 사멸 머리장식,타락한 마수의 사멸 상의,타락한 마수의 사멸 하의,타락한 마수의 사멸 장갑,타락한 마수의 사멸 견갑","목걸이/고대/94/돌격대장+6_아드레날린+3/치명/특화,귀걸이/고대/93/기습의 대가+6_원한+3/특화,귀걸이/고대/90/기습의 대가+6_저주받은 인형+3/특화,반지/고대/87/절정+3_아드레날린+6/특화,반지/고대/97/아드레날린+6_기습의 대가+3/특화",61055,194055
퍄닥퍄닥퍄닥퍄닥,아르카나,1622.5,60,246,22,"저주받은 인형 Lv. 2,바리케이드 Lv. 2","치명 61,특화 60,신속 52","세상을 구하는 빛,30각",,"덱/22/lv1525/100,머리장식/19/lv1525/94,상의/19/lv1525/96,하의/19/lv1525/95,장갑/19/lv1525/97,어깨장식/19/lv1525/88","전이된 몽환의 악몽 마법 덱,전이된 몽환의 악몽 머리장식,전이된 몽환의 악몽 상의,전이된 몽환의 악몽 하의,전이된 몽환의 악몽 장갑,전이된 몽환의 악몽 어깨장식",,48561,78455
너와떠나는여행,블레이드,1622.5,60,240,333331,"원한 Lv. 3,기습의 대가 Lv. 3,돌격대장 Lv. 3,잔재된 기운 Lv. 3,아드레날린 Lv. 3,에테르 포식자 Lv. 1","치명 612,특화 1772,신속 65","세상을 구하는 빛,30각","10멸 x3,7멸 x3,7홍 x5","검/22/lv1525/95,머리장식/19/lv1525/82,상의/19/lv1525/98,하의/19/lv1525/85,장갑/19/lv1525/88,견갑/19/lv1525/94","타락한 마수의 사멸 검,타락한 마수의 사멸 머리장식,타락한 마수의 사멸 상의,타락한 마수의 사멸 하의,타락한 마수의 사멸 장갑,타락한 마수의 사멸 견갑","목걸이/고대/70/에테르 포식자+6_아드레날린+3/치명/특화,귀걸이/고대/88/기습의 대가+6_원한+3/특화,귀걸이/고대/78/잔재된 기운+3_아드레날린+4/특화,반지/고대/80/기습의 대가+6_돌격대장+3/특화,반지/고대/100/원한+5_기습의 대가+3/특화",55817,211954
커피창,창술사,1620.0,60,234,333331,"원한 Lv. 3,저주받은 인형 Lv. 3,기습의 대가 Lv. 3,돌격대장 Lv. 3,절정 Lv. 3,아드레날린 Lv. 1","치명 665,특화 1761,신속 63","세상을 구하는 빛,30각","10멸 x1,10홍 x2,9멸 x5,9홍 x1,7홍 x2","창/19/lv1525/96,머리장식/19/lv1525/97,상의/19/lv1525/89,하의/19/lv1525/88,장갑/19/lv1525/90,견갑/19/lv1525/98","타락한 마수의 사멸 창,타락한 마수의 사멸 머리장식,타락한 마수의 사멸 상의,타락한 마수의 사멸 하의,타락한 마수의 사멸 장갑,타락한 마수의 사멸 견갑","목걸이/고대/78/돌격대장+6_기습의 대가+3/치명/특화,귀걸이/고대/83/아드레날린+5_원한+3/특화,귀걸이/고대/80/돌격대장+6_저주받은 인형+3/특화,반지/고대/85/기습의 대가+5_돌격대장+3/특화,반지/유물/72/절정+3_저주받은 인형+5/특화",52178,227286
